agent_id,environment_name,eval_episode_return,frame,normalized_return,seed
dqn,qbert,11465.0,38800000,0.850275748433162,0
dqn,qbert,8435.0,39200000,0.622303646801243,0
dqn,qbert,11615.0,39600000,0.8615614960387026,0
dqn,qbert,7830.0,40000000,0.5767844647922294,0
dqn,qbert,8250.0,40400000,0.6083845580877429,0
dqn,qbert,11570.0,40800000,0.8581757717570404,0
dqn,qbert,11195.0,41200000,0.8299614027431891,0
dqn,qbert,9945.0,41600000,0.7359135060303511,0
dqn,qbert,9775.0,42000000,0.7231229920774052,0
dqn,qbert,8755.0,42400000,0.6463799083597295,0
dqn,qbert,11125.0,42800000,0.8246947205272701,0
dqn,qbert,14310.0,43200000,1.064328761351581,0
dqn,qbert,11325.0,43600000,0.8397423840013242,0
dqn,qbert,11550.0,44000000,0.856671005409635,0
dqn,qbert,11455.0,44400000,0.8495233652594594,0
dqn,qbert,11425.0,44800000,0.8472662157383513,0
dqn,qbert,11235.0,45200000,0.8329709354379998,0
dqn,qbert,13580.0,45600000,1.0094047896712839,0
dqn,qbert,11355.0,46000000,0.8419995335224323,0
dqn,qbert,9220.0,46400000,0.6813657259369051,0
dqn,qbert,10640.0,46800000,0.7882041366026891,0
dqn,qbert,7860.0,47200000,0.5790416143133376,0
dqn,qbert,13270.0,47600000,0.9860809112865,0
dqn,qbert,8475.0,48000000,0.6253131794960538,0
dqn,qbert,9110.0,48400000,0.6730895110261754,0
dqn,qbert,13090.0,48800000,0.9725380141598513,0
dqn,qbert,14850.0,49200000,1.1049574527315271,0
dqn,qbert,14780.0,49600000,1.0996907705156083,0
dqn,qbert,15050.0,50000000,1.120005116205581,0
dqn,battle_zone,0.0,0,-0.06776254396669298,0
dqn,battle_zone,2400.0,400000,0.0011485176943507285,0
dqn,battle_zone,8200.0,800000,0.16768358337520636,0
dqn,battle_zone,4000.0,1200000,0.047089225468379875,0
dqn,battle_zone,3000.0,1600000,0.018376283109611657,0
dqn,battle_zone,8000.0,2000000,0.16194099490345273,0
dqn,battle_zone,14000.0,2400000,0.334218649056062,0
dqn,battle_zone,6400.0,2800000,0.11600028712942359,0
dqn,battle_zone,12000.0,3200000,0.27679276433852557,0
dqn,battle_zone,7800.0,3600000,0.15619840643169908,0
dqn,battle_zone,14600.0,4000000,0.35144641447132297,0
dqn,battle_zone,16400.0,4400000,0.40312971071710574,0
dqn,battle_zone,5800.0,4800000,0.09877252171416266,0
dqn,battle_zone,10000.0,5200000,0.21936687962098916,0
dqn,battle_zone,12200.0,5600000,0.28253535281027925,0
dqn,battle_zone,26400.0,6000000,0.6902591343047879,0
dqn,battle_zone,14800.0,6400000,0.3571890029430766,0
dqn,battle_zone,13800.0,6800000,0.3284760605843084,0
dqn,battle_zone,27200.0,7200000,0.7132294881918024,0
dqn,battle_zone,18800.0,7600000,0.47204077237814945,0
dqn,battle_zone,12400.0,8000000,0.2882779412820329,0
dqn,battle_zone,14200.0,8400000,0.33996123752781565,0
dqn,battle_zone,13800.0,8800000,0.3284760605843084,0
dqn,battle_zone,10000.0,9200000,0.21936687962098916,0
dqn,battle_zone,16800.0,9600000,0.414614887660613,0
dqn,battle_zone,24800.0,10000000,0.6443184265307588,0
dqn,battle_zone,18200.0,10400000,0.4548130069628885,0
dqn,battle_zone,18600.0,10800000,0.4662981839063958,0
dqn,battle_zone,14800.0,11200000,0.3571890029430766,0
dqn,battle_zone,21800.0,11600000,0.5581795994544541,0
dqn,battle_zone,12000.0,12000000,0.27679276433852557,0
dqn,battle_zone,4000.0,12400000,0.047089225468379875,0
dqn,battle_zone,20200.0,12800000,0.5122388916804249,0
dqn,battle_zone,6800.0,13200000,0.12748546407293088,0
dqn,battle_zone,16000.0,13600000,0.3916445337735984,0
dqn,battle_zone,15200.0,14000000,0.36867417988658385,0
dqn,battle_zone,24600.0,14400000,0.6385758380590051,0
dqn,battle_zone,23800.0,14800000,0.6156054841719906,0
dqn,battle_zone,12400.0,15200000,0.2882779412820329,0
dqn,battle_zone,18400.0,15600000,0.46055559543464214,0
dqn,battle_zone,15000.0,16000000,0.3629315914148302,0
