agent_id,environment_name,eval_episode_return,frame,normalized_return,seed
dqn_s,qbert,25.0,0,-0.010450602282730549,0
dqn_s,qbert,475.0,400000,0.0234066405338911,0
dqn_s,qbert,230.0,800000,0.004973252778174868,0
dqn_s,qbert,790.0,1200000,0.047106710505526256,0
dqn_s,qbert,555.0,1600000,0.029425705923512728,0
dqn_s,qbert,530.0,2000000,0.02754474798925597,0
dqn_s,qbert,665.0,2400000,0.03770192083424247,0
dqn_s,qbert,770.0,2800000,0.04560194415812085,0
dqn_s,qbert,450.0,3200000,0.021525682599634343,0
dqn_s,qbert,725.0,3600000,0.04221621987645868,0
dqn_s,qbert,730.0,4000000,0.04259241146331003,0
dqn_s,qbert,980.0,4400000,0.06140199080587762,0
dqn_s,qbert,4080.0,4800000,0.29464077465371563,0
dqn_s,qbert,480.0,5200000,0.023782832120742455,0
dqn_s,qbert,725.0,5600000,0.04221621987645868,0
dqn_s,qbert,1335.0,6000000,0.08811159347232357,0
dqn_s,qbert,945.0,6400000,0.05876864969791815,0
dqn_s,qbert,2890.0,6800000,0.20510717698309394,0
dqn_s,qbert,4555.0,7200000,0.33037897540459404,0
dqn_s,qbert,4165.0,7600000,0.3010360316301886,0
dqn_s,qbert,4190.0,8000000,0.30291698956444535,0
dqn_s,qbert,4355.0,8400000,0.31533131193054,0
dqn_s,qbert,3590.0,8800000,0.25777399914228316,0
dqn_s,qbert,4295.0,9200000,0.3108170128883238,0
dqn_s,qbert,2955.0,9600000,0.20999766761216151,0
dqn_s,qbert,4275.0,10000000,0.3093122465409184,0
dqn_s,qbert,3685.0,10400000,0.2649216392924589,0
dqn_s,qbert,4375.0,10800000,0.3168360782779454,0
dqn_s,qbert,4570.0,11200000,0.3315075501651481,0
dqn_s,qbert,4430.0,11600000,0.32097418573331027,0
dqn_s,qbert,4365.0,12000000,0.3160836951042427,0
dqn_s,qbert,4455.0,12400000,0.322855143667567,0
dqn_s,qbert,4420.0,12800000,0.3202218025596076,0
dqn_s,qbert,4420.0,13200000,0.3202218025596076,0
dqn_s,qbert,4445.0,13600000,0.3221027604938643,0
dqn_s,qbert,4325.0,14000000,0.3130741624094319,0
dqn_s,qbert,4420.0,14400000,0.3202218025596076,0
dqn_s,qbert,4405.0,14800000,0.3190932277990535,0
dqn_s,qbert,4500.0,15200000,0.3262408679492292,0
dqn_s,qbert,4470.0,15600000,0.32398371842812107,0
dqn_s,qbert,4345.0,16000000,0.3145789287568373,0
dqn_s,qbert,4500.0,16400000,0.3262408679492292,0
dqn_s,qbert,3700.0,16800000,0.2660502140530129,0
dqn_s,qbert,3605.0,17200000,0.2589025739028372,0
dqn_s,qbert,4635.0,17600000,0.3363980407942157,0
dqn_s,qbert,4445.0,18000000,0.3221027604938643,0
dqn_s,qbert,4525.0,18400000,0.328121825883486,0
dqn_s,qbert,4465.0,18800000,0.32360752684126975,0
dqn_s,qbert,4475.0,19200000,0.32435991001497244,0
dqn_s,qbert,4455.0,19600000,0.322855143667567,0
dqn_s,qbert,4455.0,20000000,0.322855143667567,0
dqn_s,qbert,4445.0,20400000,0.3221027604938643,0
dqn_s,qbert,4450.0,20800000,0.3224789520807157,0
dqn_s,qbert,4410.0,21200000,0.3194694193859049,0
dqn_s,qbert,4355.0,21600000,0.31533131193054,0
dqn_s,qbert,5815.0,22000000,0.4251792552911347,0
dqn_s,qbert,4545.0,22400000,0.32962659223089136,0
dqn_s,qbert,4425.0,22800000,0.32059799414645895,0
dqn_s,qbert,4450.0,23200000,0.3224789520807157,0
dqn_s,qbert,5095.0,23600000,0.37100766678454006,0
dqn_s,qbert,5125.0,24000000,0.3732648163056482,0
dqn_s,qbert,4475.0,24400000,0.32435991001497244,0
dqn_s,qbert,7900.0,24800000,0.5820511470081483,0
dqn_s,qbert,5795.0,25200000,0.4236744889437293,0
dqn_s,qbert,8370.0,25600000,0.6174131561721754,0
dqn_s,qbert,7960.0,26000000,0.5865654460503645,0
dqn_s,qbert,11300.0,26400000,0.8378614260670675,0
dqn_s,qbert,8780.0,26800000,0.6482608662939862,0
dqn_s,qbert,10140.0,27200000,0.7505849779175539,0
dqn_s,qbert,7240.0,27600000,0.5323938575437699,0
dqn_s,qbert,8780.0,28000000,0.6482608662939862,0
dqn_s,qbert,11675.0,28400000,0.8660757950809188,0
dqn_s,qbert,11360.0,28800000,0.8423757251092837,0
dqn_s,qbert,10455.0,29200000,0.7742850478891891,0
dqn_s,qbert,9420.0,29600000,0.6964133894109592,0
dqn_s,qbert,8735.0,30000000,0.6448751420123241,0
dqn_s,qbert,13340.0,30400000,0.991347593502419,0
dqn_s,qbert,11590.0,30800000,0.8596805381044459,0
dqn_s,qbert,9305.0,29600000,0.6877609829133782,0
dqn_s,qbert,10765.0,30000000,0.7976089262739728,0
dqn_s,qbert,5775.0,30400000,0.42216972259632385,0
dqn_s,qbert,11900.0,30800000,0.8830044164892297,0
dqn_s,qbert,14875.0,31200000,1.1068384106657838,0
dqn_s,qbert,11405.0,31600000,0.8457614493909458,0
dqn_s,qbert,8680.0,32000000,0.6407370345569592,0
dqn_s,qbert,11770.0,32400000,0.8732234352310945,0
dqn_s,qbert,11625.0,32800000,0.8623138792124053,0
dqn_s,qbert,11425.0,33200000,0.8472662157383513,0
dqn_s,qbert,3790.0,33600000,0.2728216626163372,0
dqn_s,qbert,11385.0,34000000,0.8442566830435404,0
dqn_s,qbert,11575.0,34400000,0.8585519633438918,0
dqn_s,qbert,12055.0,34800000,0.8946663556816216,0
dqn_s,qbert,13640.0,35200000,1.0139190887135001,0
